transaction_id,timestamp,customer_id,product_id,product_category,quantity,price,discount,payment_method,customer_age,customer_gender,customer_location,total_amount
TXN100042,2025-01-15 03:39:00,CUST6964,PROD-9970-NX,Electric Scooters,4,707.19,0.28,Wallet,38,Non-binary,Osaka,2036.71
TXN100043,2025-01-20 14:21:00,CUST6423,PROD-9058-NX,Electric Scooters,2,767.91,0.07,Buy Now Pay Later,41,Male,Reykjavik,1428.31
TXN100044,2025-01-31 15:18:00,CUST9521,PROD-9076-NX,Smart Home,2,40.39,0.11,Cryptocurrency,59,Male,Reykjavik,71.89
TXN100045,2025-01-10 07:16:00,CUST5614,PROD-9687-NX,Pet Tech,1,804.66,0.13,Buy Now Pay Later,57,Female,Austin,700.05
TXN100046,2025-01-09 10:36:00,CUST6282,PROD-9652-NX,Electric Scooters,2,234.19,0.13,Virtual Card,19,Non-binary,Reykjavik,407.49
TXN100047,2025-02-04 13:57:00,CUST5021,PROD-9415-NX,Pet Tech,5,1154.26,0.18,Virtual Card,25,Other,Reykjavik,4732.47
TXN100048,2025-01-09 19:16:00,CUST8346,PROD-9372-NX,3D Printing,2,199.68,0.28,Cryptocurrency,44,Female,Osaka,287.54
TXN100049,2025-02-02 16:12:00,CUST8690,PROD-9525-NX,Smart Home,4,512.18,0.07,Cryptocurrency,39,Non-binary,Osaka,1905.31
TXN100050,2025-02-01 07:22:00,CUST9864,PROD-9820-NX,Electric Scooters,4,125.29,0.04,Cryptocurrency,54,Female,Austin,481.11
TXN100051,2025-02-24 22:51:00,CUST8849,PROD-9767-NX,Wearable Health,4,1196.33,0.06,UPI,44,Male,Austin,4498.2
TXN100052,2025-01-25 01:51:00,CUST7385,PROD-9695-NX,Smart Home,4,615.08,0.27,Wallet,46,Female,Austin,1796.03
TXN100053,2025-01-04 22:55:00,CUST5267,PROD-9163-NX,Smart Home,5,724.58,0.19,Virtual Card,20,Male,Osaka,2934.55
TXN100054,2025-03-08 10:07:00,CUST6896,PROD-9975-NX,3D Printing,3,103.81,0.09,Cryptocurrency,61,Male,Reykjavik,283.4
TXN100055,2025-02-11 19:37:00,CUST7360,PROD-9031-NX,Pet Tech,1,906.2,0.24,Buy Now Pay Later,30,Male,Reykjavik,688.71
TXN100056,2025-02-18 19:24:00,CUST7316,PROD-9146-NX,Wearable Health,4,271.64,0.26,Wallet,62,Other,Osaka,804.05
TXN100057,2025-01-12 08:41:00,CUST8719,PROD-9869-NX,Electric Scooters,2,1080.21,0.25,UPI,27,Female,Reykjavik,1620.32
TXN100058,2025-02-04 10:55:00,CUST5583,PROD-9622-NX,Electric Scooters,4,266.04,0.28,Virtual Card,53,Non-binary,Reykjavik,766.2
TXN100059,2025-01-08 04:08:00,CUST6912,PROD-9694-NX,3D Printing,2,249.06,0.08,Cryptocurrency,26,Male,Austin,458.27
TXN100060,2025-02-20 05:57:00,CUST7167,PROD-9800-NX,Electric Scooters,2,67.95,0.23,Wallet,44,Male,Osaka,104.64
TXN100061,2025-01-27 16:27:00,CUST9831,PROD-9448-NX,3D Printing,4,579.68,0.14,Virtual Card,51,Non-binary,Osaka,1994.1
TXN100062,2025-02-27 05:17:00,CUST6620,PROD-9035-NX,Electric Scooters,5,688.69,0.25,UPI,18,Male,Cape Town,2582.59
TXN100063,2025-02-26 07:10:00,CUST8482,PROD-9129-NX,Smart Home,2,102.21,0.22,Buy Now Pay Later,49,Female,Osaka,159.45
TXN100064,2025-02-02 22:00:00,CUST5940,PROD-9068-NX,Wearable Health,2,936.24,0.23,Wallet,42,Other,Austin,1441.81
TXN100065,2025-02-22 13:14:00,CUST9461,PROD-9241-NX,Wearable Health,4,557.61,0.2,Buy Now Pay Later,46,Male,Osaka,1784.35
TXN100066,2025-01-18 12:03:00,CUST6841,PROD-9797-NX,Wearable Health,2,641.16,0.05,Buy Now Pay Later,24,Other,Berlin,1218.2
TXN100067,2025-03-06 03:09:00,CUST6220,PROD-9660-NX,3D Printing,2,542.9,0.16,Buy Now Pay Later,20,Female,Reykjavik,912.07
TXN100068,2025-01-07 07:56:00,CUST7176,PROD-9375-NX,Wearable Health,4,495.9,0.3,Cryptocurrency,37,Non-binary,Cape Town,1388.52
TXN100069,2025-01-05 04:06:00,CUST6165,PROD-9370-NX,Wearable Health,4,682.58,0.28,Cryptocurrency,37,Other,Austin,1965.83
TXN100070,2025-03-02 04:33:00,CUST5584,PROD-9392-NX,Electric Scooters,1,207.41,0.01,Virtual Card,47,Non-binary,Austin,205.34
TXN100071,2025-01-21 17:51:00,CUST5488,PROD-9972-NX,Electric Scooters,5,238.77,0.05,Buy Now Pay Later,52,Non-binary,Reykjavik,1134.16
TXN100072,2025-01-27 08:10:00,CUST6359,PROD-9580-NX,Electric Scooters,5,1037.6,0.04,UPI,52,Other,Berlin,4980.48
TXN100073,2025-01-08 06:18:00,CUST7519,PROD-9033-NX,Electric Scooters,2,1136.69,0.22,Virtual Card,56,Other,Berlin,1773.24
TXN100074,2025-01-22 04:32:00,CUST9874,PROD-9619-NX,Pet Tech,5,463.64,0.25,Cryptocurrency,44,Non-binary,Osaka,1738.65
TXN100075,2025-01-10 04:38:00,CUST9662,PROD-9157-NX,Wearable Health,2,343.12,0.06,Wallet,43,Male,Austin,645.07
TXN100076,2025-02-04 14:23:00,CUST7364,PROD-9695-NX,Electric Scooters,1,781.7,0.15,Cryptocurrency,31,Other,Cape Town,664.44
TXN100077,2025-01-26 07:14:00,CUST8597,PROD-9460-NX,Electric Scooters,4,505.26,0.25,Wallet,34,Other,Austin,1515.78
TXN100078,2025-02-11 06:29:00,CUST6018,PROD-9971-NX,3D Printing,4,54.83,0.22,UPI,35,Male,Austin,171.07
TXN100079,2025-02-27 20:40:00,CUST8839,PROD-9379-NX,Pet Tech,4,208.48,0.16,Virtual Card,62,Male,Cape Town,700.49
TXN100080,2025-02-03 04:59:00,CUST7491,PROD-9380-NX,3D Printing,5,866.27,0.18,Wallet,46,Non-binary,Berlin,3551.71
TXN100081,2025-01-15 19:19:00,CUST8297,PROD-9454-NX,Wearable Health,1,799.24,0.15,Buy Now Pay Later,37,Female,Reykjavik,679.35
TXN100082,2025-02-03 16:40:00,CUST7230,PROD-9781-NX,Wearable Health,5,56.84,0.09,Cryptocurrency,44,Male,Cape Town,258.62
TXN100083,2025-02-02 08:06:00,CUST9099,PROD-9078-NX,Electric Scooters,5,285.82,0.17,Buy Now Pay Later,35,Other,Berlin,1186.15
TXN100084,2025-01-20 01:40:00,CUST9423,PROD-9587-NX,Electric Scooters,1,296.51,0.21,Virtual Card,21,Other,Austin,234.24
TXN100085,2025-03-03 00:01:00,CUST9045,PROD-9140-NX,Electric Scooters,1,814.47,0.26,UPI,18,Female,Reykjavik,602.71
TXN100086,2025-01-25 07:13:00,CUST8586,PROD-9542-NX,Smart Home,1,48.16,0.19,Wallet,18,Male,Berlin,39.01
TXN100087,2025-03-05 21:08:00,CUST5658,PROD-9375-NX,3D Printing,1,147.33,0.23,UPI,43,Non-binary,Reykjavik,113.44
TXN100088,2025-03-04 05:13:00,CUST9899,PROD-9407-NX,Wearable Health,4,964.9,0.05,Virtual Card,62,Female,Berlin,3666.62
TXN100089,2025-02-28 23:39:00,CUST5326,PROD-9321-NX,Smart Home,3,234.79,0.14,Buy Now Pay Later,37,Female,Osaka,605.76
TXN100090,2025-01-07 11:58:00,CUST8539,PROD-9665-NX,Pet Tech,3,791.98,0.0,Buy Now Pay Later,40,Male,Austin,2375.94
TXN100091,2025-02-25 10:40:00,CUST7640,PROD-9285-NX,Pet Tech,1,304.86,0.07,Buy Now Pay Later,27,Male,Berlin,283.52
TXN100092,2025-02-27 19:07:00,CUST9945,PROD-9255-NX,Wearable Health,3,141.84,0.22,UPI,28,Other,Austin,331.91
TXN100093,2025-01-16 13:51:00,CUST7051,PROD-9983-NX,Electric Scooters,3,310.73,0.3,Cryptocurrency,58,Female,Berlin,652.53
TXN100094,2025-02-18 14:50:00,CUST5211,PROD-9116-NX,Smart Home,1,873.66,0.03,Virtual Card,58,Male,Austin,847.45
TXN100095,2025-03-08 08:48:00,CUST5748,PROD-9026-NX,Electric Scooters,3,1030.44,0.12,Virtual Card,22,Female,Osaka,2720.36
TXN100096,2025-01-23 06:47:00,CUST6875,PROD-9753-NX,Pet Tech,5,1000.51,0.24,Virtual Card,18,Other,Cape Town,3801.94
TXN100097,2025-01-15 20:57:00,CUST9712,PROD-9190-NX,Electric Scooters,2,491.69,0.06,UPI,34,Non-binary,Reykjavik,924.38
TXN100098,2025-02-12 01:49:00,CUST9809,PROD-9511-NX,Pet Tech,2,810.0,0.17,Cryptocurrency,39,Other,Austin,1344.6
TXN100099,2025-02-04 12:55:00,CUST5169,PROD-9530-NX,3D Printing,1,265.86,0.22,UPI,51,Non-binary,Berlin,207.37
TXN100100,2025-01-25 13:42:00,CUST7207,PROD-9396-NX,Electric Scooters,4,369.45,0.18,Virtual Card,62,Female,Osaka,1211.8
TXN100101,2025-02-28 06:06:00,CUST9720,PROD-9935-NX,Wearable Health,1,1078.19,0.06,UPI,58,Non-binary,Reykjavik,1013.5
TXN100102,2025-03-04 15:18:00,CUST5329,PROD-9575-NX,Pet Tech,4,40.28,0.11,Cryptocurrency,46,Other,Berlin,143.4
TXN100103,2025-02-20 16:40:00,CUST6435,PROD-9120-NX,Wearable Health,2,125.47,0.24,Buy Now Pay Later,21,Other,Berlin,190.71
TXN100104,2025-01-20 23:45:00,CUST8854,PROD-9268-NX,Wearable Health,1,269.27,0.17,Cryptocurrency,22,Male,Cape Town,223.49
TXN100105,2025-03-04 07:33:00,CUST9251,PROD-9793-NX,Pet Tech,5,56.18,0.0,Cryptocurrency,28,Non-binary,Austin,280.9
TXN100106,2025-01-30 12:24:00,CUST8622,PROD-9266-NX,Wearable Health,3,238.19,0.23,Cryptocurrency,38,Other,Reykjavik,550.22
TXN100107,2025-01-06 02:11:00,CUST7278,PROD-9720-NX,Electric Scooters,4,710.07,0.01,Wallet,52,Male,Osaka,2811.88
TXN100108,2025-01-21 20:21:00,CUST6486,PROD-9456-NX,Smart Home,3,520.17,0.22,Buy Now Pay Later,29,Male,Reykjavik,1217.2
TXN100109,2025-01-03 22:07:00,CUST9795,PROD-9219-NX,Pet Tech,3,1073.89,0.06,UPI,43,Male,Berlin,3028.37
TXN100110,2025-01-29 17:07:00,CUST8570,PROD-9626-NX,Smart Home,1,985.5,0.29,Cryptocurrency,36,Male,Austin,699.7
TXN100111,2025-02-06 12:21:00,CUST9028,PROD-9292-NX,3D Printing,3,426.64,0.11,Virtual Card,62,Female,Berlin,1139.13
TXN100112,2025-01-25 08:53:00,CUST5747,PROD-9710-NX,3D Printing,5,329.82,0.1,Buy Now Pay Later,24,Male,Reykjavik,1484.19
TXN100113,2025-01-07 00:35:00,CUST8850,PROD-9938-NX,3D Printing,3,471.14,0.04,Wallet,64,Other,Austin,1356.88
TXN100114,2025-01-20 04:53:00,CUST7850,PROD-9502-NX,Pet Tech,1,718.6,0.09,UPI,24,Non-binary,Berlin,653.93
TXN100115,2025-02-21 15:01:00,CUST8345,PROD-9204-NX,3D Printing,5,339.97,0.26,Cryptocurrency,43,Female,Austin,1257.89
TXN100116,2025-03-07 08:18:00,CUST7730,PROD-9125-NX,Smart Home,2,758.37,0.3,Virtual Card,57,Female,Reykjavik,1061.72
TXN100117,2025-01-29 15:25:00,CUST7630,PROD-9138-NX,3D Printing,3,506.06,0.11,Virtual Card,22,Male,Reykjavik,1351.18
TXN100118,2025-01-20 08:29:00,CUST5856,PROD-9873-NX,Smart Home,1,673.66,0.13,UPI,38,Female,Berlin,586.08
TXN100119,2025-03-01 15:49:00,CUST6317,PROD-9075-NX,Smart Home,2,537.45,0.22,Virtual Card,31,Non-binary,Reykjavik,838.42
TXN100120,2025-02-15 10:35:00,CUST7701,PROD-9462-NX,Smart Home,2,371.0,0.27,UPI,21,Non-binary,Austin,541.66
TXN100121,2025-02-06 00:16:00,CUST8372,PROD-9176-NX,Wearable Health,4,1139.43,0.18,Cryptocurrency,40,Male,Cape Town,3737.33
TXN100122,2025-02-28 12:19:00,CUST9058,PROD-9920-NX,Smart Home,5,922.24,0.12,Wallet,59,Other,Cape Town,4057.86
TXN100123,2025-02-11 18:22:00,CUST7361,PROD-9730-NX,Smart Home,3,189.63,0.12,Virtual Card,37,Male,Austin,500.62
TXN100124,2025-01-14 00:06:00,CUST8280,PROD-9455-NX,Electric Scooters,1,1045.45,0.21,Wallet,32,Male,Cape Town,825.91
TXN100125,2025-01-25 02:38:00,CUST9506,PROD-9089-NX,Pet Tech,4,597.73,0.0,Cryptocurrency,62,Male,Cape Town,2390.92
TXN100126,2025-01-13 17:01:00,CUST5300,PROD-9829-NX,Smart Home,5,1076.1,0.19,Cryptocurrency,46,Male,Berlin,4358.2
TXN100127,2025-01-23 10:45:00,CUST8725,PROD-9698-NX,Wearable Health,4,964.83,0.11,Virtual Card,25,Female,Berlin,3434.79
TXN100128,2025-03-09 19:27:00,CUST5721,PROD-9990-NX,3D Printing,5,524.63,0.24,Virtual Card,58,Other,Berlin,1993.59
TXN100129,2025-02-21 02:19:00,CUST7576,PROD-9865-NX,3D Printing,5,51.4,0.03,UPI,36,Non-binary,Osaka,249.29
TXN100130,2025-02-19 01:24:00,CUST7067,PROD-9327-NX,Wearable Health,3,340.7,0.18,Cryptocurrency,56,Other,Cape Town,838.12
TXN100131,2025-01-24 21:58:00,CUST7648,PROD-9683-NX,Smart Home,5,661.42,0.14,Cryptocurrency,63,Female,Cape Town,2844.11
TXN100132,2025-03-09 23:52:00,CUST5949,PROD-9355-NX,Pet Tech,4,769.34,0.19,Wallet,45,Female,Berlin,2492.66
TXN100133,2025-02-23 05:02:00,CUST8311,PROD-9726-NX,Pet Tech,5,328.02,0.02,Wallet,63,Non-binary,Austin,1607.3
TXN100134,2025-02-08 23:55:00,CUST9215,PROD-9066-NX,Smart Home,3,188.74,0.17,UPI,44,Non-binary,Austin,469.96
TXN100135,2025-02-23 02:44:00,CUST5009,PROD-9563-NX,Wearable Health,3,1006.04,0.17,UPI,21,Male,Reykjavik,2505.04
TXN100136,2025-02-06 08:30:00,CUST9444,PROD-9555-NX,Pet Tech,4,1181.67,0.17,UPI,32,Male,Osaka,3923.14
TXN100137,2025-02-02 22:47:00,CUST8784,PROD-9297-NX,Electric Scooters,2,642.69,0.18,Buy Now Pay Later,52,Male,Austin,1054.01
TXN100138,2025-01-20 23:06:00,CUST8385,PROD-9912-NX,Pet Tech,2,226.72,0.2,Wallet,54,Female,Osaka,362.75
TXN100139,2025-01-13 14:11:00,CUST5444,PROD-9307-NX,Wearable Health,5,344.96,0.24,Virtual Card,18,Non-binary,Osaka,1310.85
TXN100140,2025-02-16 09:04:00,CUST6536,PROD-9871-NX,Pet Tech,1,46.61,0.08,Virtual Card,20,Male,Berlin,42.88
TXN100141,2025-02-14 22:06:00,CUST9247,PROD-9161-NX,3D Printing,5,1099.3,0.25,Cryptocurrency,64,Female,Reykjavik,4122.38
TXN100142,2025-01-09 06:35:00,CUST7963,PROD-9728-NX,Smart Home,4,163.36,0.15,Virtual Card,41,Male,Reykjavik,555.42
TXN100143,2025-03-10 19:01:00,CUST9083,PROD-9726-NX,3D Printing,4,702.41,0.02,Wallet,44,Other,Osaka,2753.45
TXN100144,2025-01-05 06:55:00,CUST8621,PROD-9949-NX,Pet Tech,4,347.01,0.02,Wallet,57,Female,Austin,1360.28
TXN100145,2025-01-10 23:31:00,CUST5422,PROD-9717-NX,Electric Scooters,4,676.16,0.1,Virtual Card,53,Female,Berlin,2434.18
TXN100146,2025-01-14 21:53:00,CUST6667,PROD-9653-NX,Wearable Health,4,790.42,0.24,Buy Now Pay Later,51,Female,Reykjavik,2402.88
TXN100147,2025-02-27 02:40:00,CUST7187,PROD-9178-NX,Electric Scooters,3,999.95,0.21,UPI,46,Female,Osaka,2369.88
TXN100148,2025-01-15 13:29:00,CUST9499,PROD-9812-NX,Electric Scooters,2,267.54,0.24,Wallet,41,Non-binary,Austin,406.66
TXN100149,2025-03-03 22:32:00,CUST6073,PROD-9370-NX,Wearable Health,4,37.92,0.16,Cryptocurrency,41,Female,Austin,127.41
TXN100150,2025-02-08 10:13:00,CUST7359,PROD-9520-NX,Smart Home,1,185.84,0.13,Virtual Card,59,Other,Reykjavik,161.68
TXN100151,2025-02-24 06:52:00,CUST8589,PROD-9229-NX,3D Printing,1,1082.52,0.04,Buy Now Pay Later,21,Male,Austin,1039.22
TXN100152,2025-01-06 18:46:00,CUST8970,PROD-9124-NX,Pet Tech,1,1051.82,0.1,Buy Now Pay Later,20,Other,Berlin,946.64
TXN100153,2025-02-05 00:32:00,CUST5994,PROD-9205-NX,Electric Scooters,1,726.96,0.13,Buy Now Pay Later,51,Other,Austin,632.46
TXN100154,2025-02-04 17:39:00,CUST5236,PROD-9811-NX,Wearable Health,3,730.61,0.03,Wallet,40,Female,Berlin,2126.08
TXN100155,2025-02-24 05:44:00,CUST9987,PROD-9142-NX,Electric Scooters,1,806.42,0.07,Buy Now Pay Later,40,Female,Cape Town,749.97
TXN100156,2025-02-12 14:28:00,CUST6960,PROD-9242-NX,3D Printing,4,231.06,0.18,UPI,62,Female,Reykjavik,757.88
TXN100157,2025-02-18 03:52:00,CUST6297,PROD-9809-NX,Smart Home,5,1099.43,0.22,UPI,22,Other,Cape Town,4287.78
TXN100158,2025-01-23 21:13:00,CUST7545,PROD-9505-NX,3D Printing,1,517.06,0.3,Wallet,48,Non-binary,Cape Town,361.94
TXN100159,2025-02-20 08:32:00,CUST9512,PROD-9026-NX,Wearable Health,3,475.19,0.28,UPI,58,Male,Osaka,1026.41
TXN100160,2025-01-02 01:04:00,CUST5112,PROD-9369-NX,Smart Home,3,634.73,0.19,Buy Now Pay Later,23,Other,Berlin,1542.39
TXN100161,2025-03-03 22:06:00,CUST9524,PROD-9567-NX,Pet Tech,1,80.19,0.13,Buy Now Pay Later,54,Female,Berlin,69.77
TXN100162,2025-03-07 14:26:00,CUST8342,PROD-9586-NX,Electric Scooters,5,220.38,0.19,Wallet,27,Female,Austin,892.54
TXN100163,2025-01-11 10:14:00,CUST5763,PROD-9377-NX,Pet Tech,1,892.19,0.24,Wallet,57,Male,Cape Town,678.06
TXN100164,2025-03-04 01:13:00,CUST6840,PROD-9478-NX,Wearable Health,3,122.29,0.04,Buy Now Pay Later,24,Male,Reykjavik,352.2
TXN100165,2025-02-18 21:01:00,CUST5929,PROD-9822-NX,Wearable Health,2,733.7,0.12,Wallet,56,Female,Austin,1291.31
TXN100166,2025-03-10 08:19:00,CUST8780,PROD-9564-NX,Smart Home,4,313.29,0.25,Wallet,55,Female,Reykjavik,939.87
TXN100167,2025-01-25 06:53:00,CUST5962,PROD-9132-NX,3D Printing,3,482.42,0.12,Cryptocurrency,38,Female,Cape Town,1273.59
TXN100168,2025-02-28 08:12:00,CUST6261,PROD-9626-NX,Wearable Health,1,364.22,0.17,Virtual Card,37,Male,Osaka,302.3
TXN100169,2025-01-31 23:07:00,CUST9082,PROD-9905-NX,Electric Scooters,4,442.92,0.18,UPI,20,Female,Austin,1452.78
TXN100170,2025-01-11 03:41:00,CUST7390,PROD-9088-NX,3D Printing,1,869.88,0.06,Virtual Card,39,Male,Reykjavik,817.69
TXN100171,2025-01-27 17:09:00,CUST9168,PROD-9067-NX,3D Printing,1,374.12,0.11,Virtual Card,64,Non-binary,Cape Town,332.97
TXN100172,2025-02-09 13:45:00,CUST7239,PROD-9316-NX,3D Printing,2,690.53,0.1,Virtual Card,21,Female,Austin,1242.95
TXN100173,2025-01-15 09:30:00,CUST8403,PROD-9407-NX,3D Printing,4,584.36,0.01,Buy Now Pay Later,45,Non-binary,Berlin,2314.07
TXN100174,2025-02-11 07:10:00,CUST8952,PROD-9734-NX,Electric Scooters,4,804.81,0.01,Cryptocurrency,29,Male,Cape Town,3187.05
TXN100175,2025-01-01 07:05:00,CUST8868,PROD-9736-NX,3D Printing,2,1125.77,0.25,Wallet,55,Non-binary,Cape Town,1688.66
TXN100176,2025-03-07 17:26:00,CUST6996,PROD-9490-NX,Wearable Health,3,885.77,0.08,Cryptocurrency,53,Male,Osaka,2444.73
TXN100177,2025-03-07 12:09:00,CUST8741,PROD-9538-NX,Pet Tech,1,277.55,0.16,Wallet,64,Other,Reykjavik,233.14
TXN100178,2025-01-24 23:22:00,CUST9515,PROD-9420-NX,Electric Scooters,5,61.64,0.09,Virtual Card,58,Non-binary,Austin,280.46
TXN100179,2025-02-15 13:32:00,CUST6184,PROD-9787-NX,3D Printing,1,333.16,0.28,Wallet,22,Male,Reykjavik,239.88
TXN100180,2025-03-11 08:31:00,CUST8142,PROD-9419-NX,Wearable Health,1,724.22,0.08,Virtual Card,30,Non-binary,Berlin,666.28
TXN100181,2025-01-17 06:16:00,CUST6561,PROD-9843-NX,Electric Scooters,3,85.43,0.13,Virtual Card,40,Non-binary,Berlin,222.97
TXN100182,2025-02-16 05:02:00,CUST9910,PROD-9588-NX,Pet Tech,1,608.23,0.26,Cryptocurrency,47,Female,Austin,450.09
TXN100183,2025-01-10 16:27:00,CUST9163,PROD-9075-NX,Wearable Health,2,726.29,0.25,UPI,54,Non-binary,Reykjavik,1089.44
TXN100184,2025-02-26 21:59:00,CUST6118,PROD-9128-NX,Smart Home,2,417.74,0.06,Buy Now Pay Later,42,Other,Berlin,785.35
